deployment_id,station,latitude,longitude,receiver_model,receiver_id,mooring_type,bottom_type,deployment_time_utc,recovery_time_utc
57,TOR01,39.46812,2.49227,TBR700,1634,bottom-mooring,sand,2023-05-11T08:20:00Z,2024-01-29T11:15:00Z
58,TOR02,39.46718,2.47763,TBR700L,1216,bottom-mooring,rock,2023-05-11T09:00:00Z,2024-01-29T10:55:00Z
59,TOR03,39.46281,2.47304,TBR700L,1215,bottom-mooring,rock,2023-05-11T09:45:00Z,2024-01-29T10:40:00Z
60,TOR04,39.46146,2.47111,TBR700L,1236,bottom-mooring,posidonia,2023-05-11T10:05:00Z,2024-01-29T10:25:00Z
61,TOR05,39.46347,2.47152,TBR700L,1235,bottom-mooring,posidonia,2023-05-11T10:20:00Z,2024-01-29T09:53:00Z
62,TOR06,39.46763,2.47501,TBR700L,1212,bottom-mooring,"rock, posidonia",2023-05-11T10:45:00Z,2024-01-29T09:39:00Z
63,TOR09,39.49811,2.45948,TBR700L,1214,bottom-mooring,sand,2023-05-11T12:00:00Z,2024-01-29T09:16:00Z
64,TOR12,39.50199,2.45363,TBR700L,1237,bottom-mooring,rock,2023-05-11T13:00:00Z,2024-01-29T08:36:00Z
65,TOR11,39.49504,2.44777,TBR700,1638,bottom-mooring,"rock, posidonia",2023-05-11T13:30:00Z,2024-01-29T08:54:00Z
66,PAL05,39.514,2.73395,TBR700,1645,bottom-mooring,"posidonia, sand",2023-05-16T07:20:00Z,2024-01-26T13:39:00Z
68,PAL03,39.46618,2.72357,TBR700,1644,bottom-mooring-buoy,sand,2023-05-16T07:50:00Z,2024-01-26T13:12:00Z
70,PAL01,39.40938,2.73663,TBR700,1633,bottom-mooring,"sand, posidonia",2023-05-16T08:50:00Z,2024-01-26T12:07:00Z
71,MIG04,39.36233,2.78695,TBR700,1632,bottom-mooring,"rock, posidonia",2023-05-16T09:20:00Z,2024-01-26T11:40:00Z
72,MIG03,39.34643,2.909,TBR700L,1213,bottom-mooring,"rock, posidonia",2023-05-16T10:00:00Z,2024-01-26T11:05:00Z
77,MIG01,39.25418,3.0496,TBR800,2016,bottom-mooring-buoy,"posidonia, sand",2023-05-31T11:10:00Z,2024-01-25T13:00:00Z
78,MIG02,39.30023,2.99742,TBR800,2018,bottom-mooring-buoy,posidonia,2023-05-31T11:35:00Z,2024-01-26T10:30:00Z
79,PAL02,39.44552,2.73605,TBR800,2654,bottom-mooring-buoy,sand,2023-06-01T10:00:00Z,2024-01-29T14:40:00Z
80,PAL04,39.49273,2.66515,TBR800R,2995,bottom-mooring-release,sand,2023-06-08T07:30:00Z,2024-01-26T09:00:00Z
81,PAL06,39.4781,2.54162,TBR800R,2996,bottom-mooring-release,sand,2023-06-08T07:55:00Z,2024-02-15T09:30:00Z
82,DRA02,39.52063,2.38734,TBR700,1639,bottom-mooring,rock,2023-06-08T09:52:00Z,2024-02-07T09:30:00Z
84,DRA08,39.59888,2.33715,TBR800,2015,bottom-mooring,rock,2023-06-08T11:00:00Z,2024-02-07T10:40:00Z
85,DRA07,39.58691,2.31545,TBR700,1643,bottom-mooring,rock,2023-06-08T11:30:00Z,2024-02-07T11:26:00Z
86,DRA06,39.57255,2.30315,TBR700,1641,bottom-mooring,"rock, posidonia",2023-06-08T12:00:00Z,2024-02-07T11:47:00Z
87,DRA04,39.56463,2.34622,TBR700,1642,bottom-mooring,rock,2023-06-09T10:40:00Z,2024-02-07T10:15:00Z
108,PAL07,39.53323,2.59407,TBR800,3151,bottom-mooring-buoy,"rock,sand",2023-11-20T09:51:00Z,2024-01-29T13:45:00Z
